code,BUF,MIA,NE,NY,BAL,CIN,CLE,PIT,HOU,IND,JAX,TEN,DEN,KC,LV,LA,DAL,PHI,WAS,CHI,DET,GB,MIN,ATL,CAR,NO,TB,ARI,SEA,SF,LON,TOT,MEX,FRA
DET,10389.43986274854,12025.704045783103,9764.45647100131,10499.097583748224,10722.671375541333,10885.199851785537,11649.832877619923,10664.475089135574,12018.141561622995,10833.509008203202,11797.251876924967,11236.873945783065,10863.904571007366,10973.570848829642,11111.947953566721,11268.719037618857,11678.327619331762,10622.217927039237,10767.483988504204,10617.185001186399,0.0,10329.794117343406,10310.608250746838,11470.047061796577,11248.388259483301,11959.223514914049,12070.379727338019,11448.662594856589,9718.988609640934,10805.07336058143,6064.8337782513945,6048.9105052859295,13171.88584543891,5555.019716071436
GB,770.7810741757463,1968.3937215584647,1332.0149819197006,1214.4567037437394,1110.2385984795756,669.4865130270587,1582.0480641983847,798.9066291507545,1771.93044792162,550.4140305219698,1675.7051642970403,933.9967151409336,1493.6145328757802,807.2923786104577,2471.561048654413,2841.59438014351,1523.1918082930424,1178.2130531622167,1117.6195173174506,295.7973549264755,10329.794117343406,0.0,414.4627542648707,1236.7625122446643,1201.095827035619,1629.4674231870558,1904.8432566657993,2410.6392043225287,2648.4089589066425,2935.269721233141,6179.846077849594,6189.998610905585,2988.0693590278615,6796.276053384166
MIN,1185.0702948651847,2217.609297771788,1710.0379097096838,1627.351126375919,1508.9933044792176,974.0188485934655,1853.2960189509745,1192.5112140349481,1712.5845362801017,822.3550695075597,1921.3713222955837,1122.375294162616,1127.4278997837655,667.1750910441891,2092.671524839584,2465.257954740188,1400.138604397059,1585.7813023292886,1512.1299376019458,572.4678642257225,10310.608250746838,414.4627542648707,0.0,1461.0623411982297,1511.2361713094144,1695.4541577059906,2118.776708206999,2067.0542586993442,2242.2003199341066,2532.766617818044,6450.204042082346,6459.611306701754,2909.509547047214,7053.7541420606785
ATL,1116.8104247781866,757.8214439436911,1850.114302718507,1203.8583588531171,927.541893130431,594.5349033098547,427.6504320746767,840.5196796598909,1135.7558045311166,686.5460832374653,462.54750593326526,344.909399869901,1950.4216123416186,1077.5931275524144,2809.93849594727,3122.962561704243,1185.157416186565,1068.9745267520943,885.7689485419218,945.5974662711836,11470.047061796577,1236.7625122446643,1461.0623411982297,0.0,364.5635940964183,683.9631574291657,668.5319134978952,2574.704577906527,3507.9534843378533,3403.0664614703614,6765.893289696268,6778.307606659656,2173.6494690887694,7409.999243758485
CAR,859.0132806246744,810.9885911451738,1543.3322324838234,859.3012475850462,585.8643810768814,539.6742232028371,413.97203947957723,586.2309696822797,1498.1738148731213,689.0678170410897,550.3640162884191,545.7178902298585,2185.925425269664,1281.0364855142327,3090.712633499201,3418.0793498361036,1521.662672279699,722.4129512177458,541.457925809593,944.3645870952422,11248.388259483301,1201.095827035619,1511.2361713094144,364.5635940964183,0.0,1045.5528430809745,822.0459538319503,2880.7327596280165,3674.3112147868796,3667.2252869649838,6418.199023112011,6430.812859458517,2525.4401741937027,7063.779111028226
NO,1746.694084370098,983.8439609938381,2501.8208627301783,1884.5748433972117,1608.5562569335689,1138.2790060257696,914.1752562107283,1482.617793824415,515.1142073419645,1148.6429185034356,814.3767130667077,757.6054951908835,1742.0706113288525,1090.0784019119988,2432.6658772759965,2697.0657127403992,734.6225991493686,1750.8482551845648,1567.7470627032187,1344.4070789373968,11959.223514914049,1629.4674231870558,1695.4541577059906,683.9631574291657,1045.5528430809745,0.0,770.4364565745531,2133.222243373913,3380.2682744641306,3051.9852804984976,7443.30425840377,7455.549537102756,1497.6931322524945,8085.947581573209
TB,1681.0589883999394,222.3216221820696,2342.081932452375,1622.7959906224896,1369.881829248746,1251.824555289744,430.0660819585712,1407.224259181345,1272.4356545104006,1354.434955743317,274.8314876373651,996.767209936415,2448.4432262908176,1657.309495570379,3196.986122629452,3467.0665002111114,1496.5355605100838,1488.8945933044972,1324.0652348710562,1614.1275983302733,12070.379727338019,1904.8432566657993,2118.776708206999,668.5319134978952,822.0459538319503,770.4364565745531,0.0,2903.3839901494707,4064.5599029976856,3813.634200077432,7100.323167948095,7113.702641970424,1950.2999718224937,7749.254805781808
ARI,3082.511127457642,3113.449476673715,3740.8251270359506,3454.621813155781,3235.3314970522842,2554.500274476531,2960.242672877285,2951.349258907266,1652.3953964152267,2422.436865956316,2905.546397764567,2340.5816247383095,947.1353850624974,1706.5029767921808,390.67997122190303,564.0723549255671,1416.6693871356185,3360.7336243679083,3214.521206986143,2350.5216618558106,11448.662594856589,2410.6392043225287,2067.0542586993442,2574.704577906527,2880.7327596280165,2133.222243373913,2903.3839901494707,0.0,1779.140364549064,979.2854496374479,8482.306674494661,8490.851226989173,2049.5962590302074,9067.347946563581
SEA,3412.4810385828387,4228.203071446135,3781.087120014518,3859.849165973544,3751.011821382127,3168.8159747792283,3935.1595684402587,3433.9912171478295,3047.172378380512,3008.9094687737215,3951.5919375608028,3174.6841033922306,1640.0561708696475,2430.861430035363,1409.702964146956,1554.8766691708288,2688.964100823978,3826.3110123224615,3753.152118359248,2793.599077508896,9718.988609640934,2648.4089589066425,2242.2003199341066,3507.9534843378533,3674.3112147868796,3380.2682744641306,4064.5599029976856,1779.140364549064,0.0,1134.9745209690336,7698.104888513677,7702.852341476906,3783.806979018451,8193.004770259495
SF,3685.0379073311824,4014.0351659685566,4236.14118049815,4103.154444802643,3923.0664117721635,3256.524350108305,3813.8560746423796,3614.862164821953,2599.398070744815,3105.9617483978323,3781.1927350054752,3122.5726779810975,1495.9084886069097,2401.5188040758067,622.546625378004,505.12770171375917,2318.325592222124,4031.7056841790445,3911.037094976471,2966.360218561091,10805.07336058143,2935.269721233141,2532.766617818044,3403.0664614703614,3667.2252869649838,3051.9852804984976,3813.634200077432,979.2854496374479,1134.9745209690336,0.0,8627.963166205676,8634.305533057986,2994.236293850578,9162.543620700591
LON,5730.123077284509,6948.56033357443,4968.678537005422,5562.32801057797,5838.560131752204,6362.175966591718,6696.944859528787,5974.182482652102,7808.668854495381,6416.482640379175,6853.295259015316,6731.091460493457,7538.319594095172,6983.818423719537,8408.11509311716,8767.639982767441,7657.566786768715,5697.997416944606,5880.943915957881,6348.354117173279,6064.8337782513945,6179.846077849594,6450.204042082346,6765.893289696268,6418.199023112011,7443.30425840377,7100.323167948095,8482.306674494661,7698.104888513677,8627.963166205676,0.0,15.987268870047483,8939.340199505901,649.1285770807086
TOT,5741.705495163684,6962.1843208870905,4980.1713034798095,5574.795509704967,5851.013286645554,6373.748016892369,6710.088423817382,5986.050693092972,7820.262203322895,6427.741287508121,6866.486082386774,6742.860966773907,7547.037859670183,6994.133176855951,8415.806086219478,8775.10289091827,7668.505491774272,5710.504807839405,5893.431461359496,6359.061109547318,6048.9105052859295,6189.998610905585,6459.611306701754,6778.307606659656,6430.812859458517,7455.549537102756,7113.702641970424,8490.851226989173,7702.852341476906,8634.305533057986,15.987268870047483,0.0,8951.701222148664,635.5911955307566
MEX,3237.108399535136,2152.241409329123,3996.298491414736,3377.4931958318944,3101.18097507965,2614.598938833798,2293.783877166847,2978.004962382693,1216.1635199585226,2594.839471773031,2149.114032861842,2234.0768687821046,2343.9859996112755,2243.971655405234,2440.2640848533647,2503.0830562313686,1511.339541626003,3242.339703622329,3059.193512931348,2737.8981121414545,13171.88584543891,2988.0693590278615,2909.509547047214,2173.6494690887694,2525.4401741937027,1497.6931322524945,1950.2999718224937,2049.5962590302074,3783.806979018451,2994.236293850578,8939.340199505901,8951.701222148664,0.0,9582.837986297362
FRA,6366.403185615719,7597.68541559924,5604.186919741105,6206.946896702918,6483.046253528096,6998.17033811379,7345.25124309127,6613.467055248309,8444.579575012653,7048.690506265422,7501.757711335432,7369.193021829254,8127.792706357638,7602.344557565663,8974.892349814823,9328.806096546487,8285.099094033478,6342.8930932890125,6525.679932868258,6973.12409817526,5555.019716071436,6796.276053384166,7053.7541420606785,7409.999243758485,7063.779111028226,8085.947581573209,7749.254805781808,9067.347946563581,8193.004770259495,9162.543620700591,649.1285770807086,635.5911955307566,9582.837986297362,0.0
